Muestra	Atributo A	Atributo B	Atributo C
1	2.3287045	5.80017982	6.60743195
2	3.79485176	4.82176129	5.76699131
3	5.45800353	3.94319359	7.2941888
4	6.05960931	10.82604001	9.81642511
5	7.14785374	6.80786243	8.4361895
6	5.64748363	9.0206838	9.40430448
7	6.61650825	8.24551056	9.17753287
8	5.28748253	5.14425867	6.26915579
9	0.96289607	3.77844987	1.98258969
10	0.78590374	3.39135183	2.12793504
11	5.23099416	5.25791359	6.20752159
12	5.45446775	9.93264441	8.3775556
13	9.48037463	9.77131002	7.35159093
14	1.65734946	5.13902479	7.05952119
15	3.21499989	5.38716607	6.91230691
16	6.84350132	8.09154009	9.04017374
17	2.07046481	1.59045262	2.4207207
18	3.61093235	1.87454798	2.34630106
19	3.11200712	1.98362166	1.94872673
20	5.87939934	6.63513268	8.84250958
21	2.38785926	5.48114311	5.36675611
22	7.00201314	8.44391762	8.84313496
23	1.19101578	3.78744344	2.86763794
24	4.17120791	4.79165685	5.27033384
25	9.25834179	8.0980709	9.08953585
26	3.1237025	3.75650927	1.81558159
27	7.8589096	9.49925084	8.33993898
28	4.44301985	4.68259381	7.51765014
29	3.35965468	2.61672756	5.68095879
30	3.68472065	4.87356164	6.2014301
31	1.8947326	2.65753306	2.77156406
32	7.36160634	7.48259214	9.64280606
33	8.18911422	7.88045	        7.77710383
34	1.29431144	2.90674381	4.35379181
35	4.7688736	6.54429157	5.13678965
36	1.23762264	1.84057653	3.36878026
37	4.56454244	4.27862099	5.8119704
38	3.88890437	1.97263901	2.41587658
39	4.87444238	4.1472955	5.44723255
40	1.79141432	2.29180196	4.1329206
41	7.65282356	6.49318049	8.61390583
42	4.46729226	6.98165854	8.65609056
43	1.54293469	3.14884229	2.27581752
44	1.45849221	2.26606193	0.90577349
45	4.79149183	5.08496112	6.16221574
46	3.02475704	1.35892385	2.57834717
47	2.00139112	5.80348886	7.52056707
48	1.64707801	3.78646364	2.22654167
49	7.79210911	9.12393247	10.69224954
50	6.4603037	7.62417511	8.21400691
51	3.90304188	5.2648805	4.59712978
52	7.67398457	7.90334782	9.82332831
53	1.64687641	2.0705244	4.52105717
54	1.59730065	2.37604019	3.68973827
55	3.42495334	5.01243099	7.50325688
56	3.98482343	5.04833583	5.25871672
57	5.0527806	6.4832554	8.74387481
58	4.5962637	5.33205585	6.78057121
59	7.86303123	10.38678212	10.66174884
60	7.34922258	8.66024879	9.16560631
61	1.47248298	3.36223791	3.16402778
62	6.83397645	6.99183366	8.55766161
63	2.8215544	1.36966068	2.73193628
64	2.03149206	2.63305988	1.68597757
65	3.94360163	5.47918738	6.41911747
66	7.78901656	8.04737945	9.13694798
67	4.60802199	5.92822474	5.52472498
68	0.30550629	1.38348196	3.82595162
69	5.16160885	10.21205559	8.55123453
70	5.68652598	7.81706065	9.98124824
71	3.72911405	4.73549159	7.46215412
72	3.3770331	2.89520214	1.21441537
73	5.67943727	8.00742108	10.5311701
74	2.22404651	3.27533473	1.36815065
75	8.206308	9.52348595	11.16430971
76	8.09537403	7.53230031	8.27386184
77	1.42235893	1.35731583	3.03321647
78	4.99309742	4.72379984	7.22236214
79	6.46697556	7.30256937	10.42933688
80	3.83466865	2.38321503	3.00068143
81	1.52982125	3.64406973	1.56185717
82	1.12755555	2.85367254	2.89959917
83	3.37352201	3.33893971	2.56325285
84	2.80164717	6.76523279	6.40008059
85	1.69403547	1.17989929	3.4711907
86	4.26478804	3.62526609	5.79955538
87	3.36428904	4.86941829	6.3418223
88	6.6705157	6.96371133	9.69930801
89	5.03820565	7.47460001	9.90271096
90	3.75924771	4.23957441	7.33376207
91	2.27779119	5.32990603	5.55852669
92	3.60473427	6.89992035	7.00577831
93	6.25824822	8.89824793	9.55840947
94	6.76109535	9.17857939	9.45068445
95	2.07834878	2.9645113	2.79542689
96	3.82276301	5.45931622	6.65252272
97	2.90965394	6.5124559	4.8038303
98	8.30203534	9.83466208	8.90598599
99	1.83036544	2.17376498	4.33567259
100	3.02626744	5.14878333	3.72734105
101	5.78339578	9.84248247	7.78431587
102	8.26369689	8.33997689	9.99198694
103	4.78886805	2.13166626	4.08521074
104	1.06101946	3.07973662	1.62999457
105	2.52950065	1.18080164	2.61599026
106	7.40262015	8.88690756	8.16597077
107	2.66834539	6.35603117	4.32910685
108	1.4076955	2.01320305	3.99251386
109	1.020715	2.49193546	2.93664692
110	2.77747633	3.72623205	2.89782503
111	4.39669265	6.36752181	4.98571152
112	4.63480079	3.5969223	6.01093077
113	5.13140567	4.86487316	6.09828946
114	4.6883377	3.49949639	6.36972335
115	6.33876521	6.2593026	7.54635558
116	3.29415856	4.77679533	4.83193309
117	5.89947563	7.17787429	9.22771319
118	1.36267398	2.88501467	4.32962925
119	5.16388605	4.72746494	6.93560468
120	4.1493292	4.02188853	7.15840653
121	3.57662553	2.99114407	3.08760172
122	4.23141713	4.83958098	6.0679698
123	7.00041503	8.98919202	9.57320387
124	4.19345894	4.9463177	4.77135538
125	5.92825737	6.83094186	8.58434695
126	3.80424918	0.41404558	2.94944649
127	6.18903936	5.90188949	8.28519225
128	1.99767232	3.84343004	3.39756014
129	6.84320812	8.98892611	9.85513923
130	2.29771691	2.9240012	3.76384607
131	2.17685032	4.42285651	6.16749431
132	5.42674515	8.62616853	7.41587139
133	3.08948608	3.83458755	2.66853748
134	3.73945805	3.47051939	3.18419213
135	3.10836598	3.46530443	6.86238876
136	2.22449978	2.59317205	2.24322674
137	4.87076265	6.93845251	5.75338114
138	4.1942597	5.39037249	5.52298286
139	4.03363572	5.53955331	4.82940529
140	3.97201602	2.06942668	1.80446959
141	3.59619381	2.99048618	3.78396198
142	2.06281966	1.75690097	1.58524431
143	4.33679796	6.88883996	6.13369561
144	1.78356911	3.30821134	5.27401075
145	4.01743317	5.76144416	3.46537572
146	3.68870696	1.13593453	3.65042781
147	5.00830544	3.05899924	7.2454023
148	3.11737882	2.91589175	5.17270656
149	4.78728438	6.38084998	5.72196821
150	3.88466542	2.58112476	4.61243141
151	7.35369543	8.65012373	9.03514418
152	5.27845327	5.11355372	6.93212928
153	3.32703468	5.24403722	5.76298068
154	4.57892807	4.37250508	5.27582495
155	1.54414882	2.16007211	3.11112667
156	4.70786152	6.79653022	5.11777146
157	6.89537901	6.81438662	8.71562523
158	6.21448004	8.04503244	9.15769495
159	3.63696031	3.43562719	2.64534502
160	7.37867441	7.92433721	7.776932
161	4.87051885	3.50546735	4.76265798
162	4.19100024	4.31768629	5.71317856
163	2.64524925	0.73742653	3.32597711
164	3.15960403	1.93653185	3.96834408
165	4.10808452	6.23543874	5.41999573
166	6.63196466	5.39136938	9.03528351
167	9.01049647	8.44110337	7.79658535
168	1.29431044	2.35289869	2.69099692
169	6.6399467	8.55108493	7.12662465
170	3.74872601	4.4507013	5.53325975
171	4.67394687	3.94317587	6.50501332
172	3.82172042	5.11495065	5.1638326
173	3.76824431	4.61057642	6.1442889
174	5.72750287	8.39617423	10.09428976
175	8.67700078	7.20313955	9.38585504
176	4.32150114	5.1617627	4.69337996
177	6.98923677	7.88094851	7.89945589
178	5.52679644	5.18977018	5.8504637
179	8.08522946	9.9192403	9.87780847
180	0.68748428	1.07600056	1.41037837
181	7.34404995	5.34186226	7.77621271
182	7.2282996	8.29795784	8.03049848
183	7.96107272	8.44651116	8.50094625
184	3.12612495	4.80512298	7.00665539
185	2.40584609	4.94462538	8.27352303
186	8.89299229	7.98675118	8.06920569
187	2.29845223	2.42308899	3.05946072
188	5.45367786	4.04800551	7.44893458
189	1.0748453	1.41502445	2.97049595
190	3.722081	5.91999718	7.08165914
191	3.94539238	4.22258735	8.3475583
192	3.94526254	5.80307883	5.94668717
193	6.35731115	7.98797471	8.76472082
194	1.68845477	1.98950112	3.44870309
195	3.62477847	3.40125033	7.25649903
196	3.46576927	2.38444746	1.87096548
197	3.41862317	5.11676073	6.89941063
198	4.24296239	5.17434361	6.95165853
199	8.25593234	8.61161291	9.61044555
200	7.68408343	7.27355758	8.58682554
201	7.40747456	8.97481752	9.06071396
202	6.32186114	7.96378234	8.66865124
203	2.71576171	3.77145094	8.64222333
204	6.80731059	8.47459402	8.38793411
205	7.33609239	8.35046272	8.77507335
206	8.17828402	8.07698595	7.42165031
207	5.7164554	8.907161	10.61035892
208	3.99854039	3.54646911	6.35893217
209	3.10941514	1.96924034	2.63560479
210	6.88979687	8.32155573	7.63796828
211	2.29352119	2.78216724	4.40065826
212	1.28314507	1.02871455	1.64853333
213	9.38089377	8.43135214	9.02736974
214	3.11239997	5.94676474	5.46399414
215	3.25649514	5.02603112	5.45079854
216	1.19972994	2.41645992	3.21432818
217	3.12805031	1.06979728	2.61999127
218	2.80784112	4.77303208	7.02747188
